,admin1,admin2,year,month,fatalities,cc_event_count,actor_state,actor_rebel_groups,actor_political_militias,actor_identity_militias,actor_civilians,actor_others,cc_onset,admin0,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
19,Addis Ababa,Addis Ababa,1998,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,311.4182387,306.75404933,15.65003219,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
20,Addis Ababa,Addis Ababa,1998,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,194.84269734,311.4182387,15.622895232000001,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
21,Addis Ababa,Addis Ababa,1998,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.710890169,194.84269734,15.059616545999994,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
22,Addis Ababa,Addis Ababa,1998,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.2974724148000005,78.710890169,13.947636206000002,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
23,Addis Ababa,Addis Ababa,1998,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.3660968331999985,5.2974724148000005,13.513867736999998,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
24,Addis Ababa,Addis Ababa,1999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.790604760399999,0.0,15.151543887,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
25,Addis Ababa,Addis Ababa,1999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.7542368513,13.790604760399999,15.777352645000002,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
26,Addis Ababa,Addis Ababa,1999,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,52.801288846999995,8.7542368513,16.514403516999998,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
27,Addis Ababa,Addis Ababa,1999,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,23.064915813000002,52.801288846999995,17.672025627000004,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
28,Addis Ababa,Addis Ababa,1999,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.331635654,23.064915813000002,17.162010988,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
29,Addis Ababa,Addis Ababa,1999,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,125.82589274999998,39.331635654,16.292802372000004,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
30,Addis Ababa,Addis Ababa,1999,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,319.3252465500001,125.82589274999998,15.082981192,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
31,Addis Ababa,Addis Ababa,1999,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,327.4052633500001,319.3252465500001,13.962929019,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
32,Addis Ababa,Addis Ababa,1999,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,103.55535516100001,327.4052633500001,15.042451878000007,0.0,0.0,0.0,0.0,0.0,0.0,Addis Ababa_Addis Ababa
